tweet,date,comments,shares,likes,views,language
@NZNationalParty  @nzfirst  @RB_ACTNZ,2024-05-22T21:05:10.000Z,,,,153.0,en
Keep saying it!,2024-05-23T11:31:56.000Z,,,,11.0,en
Yup it was and is.,2024-05-22T14:06:51.000Z,,,,61.0,en
,2024-05-22T10:41:31.000Z,,,,95.0,en
Wow,2024-05-23T07:32:28.000Z,,,,14.0,en
Yep!,2024-05-23T11:48:47.000Z,,,,11.0,en
,2024-05-22T09:47:33.000Z,,,,111.0,en
Yep!,2024-05-24T03:27:08.000Z,,,,8.0,en
Agreed,2024-05-22T10:56:27.000Z,,,,91.0,en
@jamespratt1994,2024-05-23T18:37:53.000Z,,,,10.0,en
Yep,2024-05-22T13:57:30.000Z,,,,59.0,en
Ja.,2024-05-23T11:07:29.000Z,,,,14.0,en
Exactly,2024-05-22T21:55:13.000Z,,,,27.0,en
?,2024-05-22T19:31:33.000Z,,,,26.0,en
To line pockets of the hoax creators!,2024-05-22T14:37:03.000Z,,,1.0,28.0,en
@1234Fit,2024-05-22T14:48:13.000Z,,,1.0,19.0,en
"Well stated Dr. Moore.  A man after my own heart, now all we need to do is get more prominent people outing the Hoax.",2024-05-24T06:30:26.000Z,,,2.0,3.0,en
"Any political figure, CEO or other person that uses the words ""Climate change"" or ""sustainable development"" in a sentence is a CON MAN/WOMAN and should be immediately removed from positions of influence.",2024-05-22T21:53:14.000Z,,1.0,1.0,18.0,en
CO2 is plant food!It is not rocket science!,2024-05-22T16:23:06.000Z,1.0,,,10.0,en
"In the future, they will look at ""man made climate change"" in the same way we look at the belief the earth was flat by the consensus in the past.",2024-05-22T10:11:35.000Z,,2.0,,26.0,en
THE BIG LIE,2024-05-25T12:56:38.000Z,,,4.0,54.0,en
I’ll just leave this stuff here...,2024-05-22T11:29:00.000Z,,3.0,4.0,106.0,en
,2024-05-23T05:15:37.000Z,,,1.0,6.0,en
@JaneCaro,2024-05-23T14:46:31.000Z,,,1.0,6.0,en
?,2024-05-22T19:31:33.000Z,,,26.0,,en
To line pockets of the hoax creators!,2024-05-22T14:37:03.000Z,,,1.0,28.0,en
@1234Fit,2024-05-22T14:48:13.000Z,,,1.0,19.0,en
"Well stated Dr. Moore.  A man after my own heart, now all we need to do is get more prominent people outing the Hoax.",2024-05-24T06:30:26.000Z,,,2.0,3.0,en
